2023-08-11 19:37:44.184 [restartedMain] INFO  c.c.creditcard.CreditcardApplication - Starting CreditcardApplication using Java 17.0.7 with PID 7224 (C:\Users\Administrator\IdeaProjects\Creditcard\target\classes started by Administrator in C:\Users\Administrator\IdeaProjects\Creditcard)
2023-08-11 19:37:44.186 [restartedMain] DEBUG c.c.creditcard.CreditcardApplication - Running with Spring Boot v3.1.2, Spring v6.0.11
2023-08-11 19:37:44.189 [restartedMain] INFO  c.c.creditcard.CreditcardApplication - No active profile set, falling back to 1 default profile: "default"
2023-08-11 19:37:44.603 [restartedMain] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2023-08-11 19:37:44.606 [restartedMain] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2023-08-11 19:37:46.710 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data MongoDB repositories in DEFAULT mode.
2023-08-11 19:37:46.827 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 108 ms. Found 1 MongoDB repository interfaces.
2023-08-11 19:37:48.049 [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2023-08-11 19:37:48.064 [restartedMain] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2023-08-11 19:37:48.065 [restartedMain] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2023-08-11 19:37:48.069 [restartedMain] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.11]
2023-08-11 19:37:48.213 [restartedMain] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2023-08-11 19:37:48.219 [restartedMain] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 3607 ms
